state,end_date,end_date_num,Trump_pct,Harris_pct
Alaska,2024-09-01,722,53,43.1
Alaska,2024-09-12,733,47,42
Alaska,2024-09-29,750,52,43
Alaska,2024-10-09,760,52,44.5
Arizona,2023-11-03,419,43.5,43
Arizona,2024-02-19,527,45.775,40.3
Arizona,2024-05-12,610,48.333333333333336,42
Arizona,2024-07-11,670,48.875,44
Arizona,2024-07-16,675,47.375,42
Arizona,2024-07-20,679,46.5,40
Arizona,2024-07-23,682,50.05,43.599999999999994
Arizona,2024-07-24,683,46,43
Arizona,2024-07-28,687,45.5,48.5
Arizona,2024-07-29,688,48,43
Arizona,2024-07-30,689,49,47
Arizona,2024-08-03,693,43,44
Arizona,2024-08-05,695,42.8,43.2
Arizona,2024-08-08,698,47.56666666666667,45.833333333333336
Arizona,2024-08-14,704,46,47
Arizona,2024-08-15,705,43.8,46.8
Arizona,2024-08-16,706,45.5,43.5
Arizona,2024-08-20,710,47.55,46.85
Arizona,2024-08-26,716,48,49
Arizona,2024-08-27,717,47.5,48.5
Arizona,2024-08-28,718,48.6,46.25
Arizona,2024-08-29,719,49,44
Arizona,2024-08-31,721,48.6,48.4
Arizona,2024-09-03,724,48.5,46.9
Arizona,2024-09-05,726,46.55,46.65
Arizona,2024-09-08,729,49.05,46.89
Arizona,2024-09-09,730,46.6,46
Arizona,2024-09-12,733,47.1,45.5
Arizona,2024-09-18,739,48.575,48.535
Arizona,2024-09-19,740,47,47
Arizona,2024-09-21,742,48.5,43.75
Arizona,2024-09-24,745,49.77142857142857,47.05714285714286
Arizona,2024-09-25,746,47.583333333333336,49.2
Arizona,2024-09-28,749,51.7,47.6
Arizona,2024-09-29,750,45.7,47.3
Arizona,2024-09-30,751,49.1,47.7
Arizona,2024-10-01,752,49.5,47.5
Arizona,2024-10-02,753,48.333333333333336,46
Arizona,2024-10-08,759,50.5,48.2
Arizona,2024-10-10,761,50.25,45
Arizona,2024-10-13,764,47.5,46
Arizona,2024-10-14,765,48,46
Arizona,2024-10-15,766,48,49
Arizona,2024-10-16,767,51,48
Arkansas,2024-09-06,727,55,40
California,2023-11-14,430,35.125,47.2
California,2024-08-11,701,34,59
California,2024-09-05,726,38,60.8
California,2024-09-09,730,29,60
California,2024-10-01,752,35,57
California,2024-10-14,765,36.6,61
